course_id,title,tags,level,android_url,ios_url,diamonds
0KVq2S8yZWM8E5RxOujA,How Climate Change Costs You Money,environment climate money,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,70
0pJDuYxHvorGR8B5qDqJ,Choosing the Right EPF Investments (Member Investment),investment epf retirement,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,60
1Q88kJsFmoUGLdVv3GSi,Why Do Carbon Taxes & Green Rebates Matter to Me?,tax environment sustainability,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,65
1Rs45voZRyYqNb5Q59Tx,Why does the Stock Market Exist?,stocks investment finance,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,50
1SmgooYEAIvjvoJk4JI1,What is a Stock?,stocks investment basics,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,45
1VO33xxlJbU1SLpFA71b,Government Scheme 1: Skim Jaminan Kredit Perumahan,property housing loan,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,55
3bNPKdYCXePD7iqSd2lK,Different Types of Life and Medical Insurance in Malaysia,insurance health protection,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,60
3mmvCr5mM2Lgnel5Wvpe,First-Time Income Taxpayer Guide: Registering as a Taxpayer,tax income filing,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,50
4tB7vzo0u4yF5pYEomNi,Emergency Preparedness & Retirement Planning For Business,business retirement planning,intermediate,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,75
5wAXusqBSKTHDxwAXKAg,Budgeting Methods,budget savings planning,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,50
6XqPDVMMQL8eUzxYjC0y,Strategic Debt Repayment Methods,debt repayment finance,intermediate,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,60
6xHM0JMHsUekotSjQ2T0,How Banks Approve Credit Cards: Understanding Eligibility,credit cards banking,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,55
6z6AhucbeC1l40ejS2Un,The ESG Wave: What Investors Now Look At,investment esg sustainability,intermediate,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,70
879s7AxguLbqh0nwVCKT,Smart Use of House Loan Insurance for Malaysian Property,property insurance housing,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,65
8op0KCW23teEXF1A0nl1,What is Global Economics?,economics global finance,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,55
93krK0n2OE2LA9QtFOpm,The Perfect Job Opportunity: Too Good to Be True?,scam job employment,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,45
9BGozBMRHKa08DQCh7qe,How Do People Buy Store & Use Crypto?,crypto investment digital,intermediate,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,70
A7z2hTbqzMqCdrqEYeFQ,Understanding Home Loans in Malaysia,property loan housing,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,60
AZIpUs35s6WidzTGyyuq,How to Measure If Your Property Is a Good Investment,property investment return,intermediate,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,75
B5mLyieUS5X7NbL3jbCI,Financial Safety Nets for Families,family protection insurance,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,60
ChstoKOBypp9yR78g8Dv,Optimizing Car Loans for Better Savings,car loan savings,intermediate,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,65
D5bxMXYHvAPpnWJmK7rq,Inflation: Not Just a Buzzword,inflation economics money,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,55
DTQUkWn0p235scsCgDii,What are Interest Rates and Why Do They Change?,interest rates economics,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,50
DkFFtglH6V0955owdCJj,First Home Buyer Incentive (Malaysia 2025),property housing government,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,55
DvDVLQRzMBgDNpSEs0Kc,How Malaysia Built Its Economy Post-Merdeka,economics history malaysia,intermediate,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,70
EXRO8sTiIDNhljgLQ7at,Improving and Maintaining Credit Scores,credit score finance,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,60
FblxWCNoxrKDOUAr88NO,Creating A Budget,budget planning finance,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,45
G6EulR0VlwOt4mYsmczM,Scams to Watch Out for in Malaysia (2/2),scam safety security,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,50
GTRLH84YTSRjptUOaI9b,Budgeting for Irregular Income,budget income planning,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,55
HQakHxXPKv4c7LPNzT2o,Car Insurance: Choosing the Right Coverage,car insurance protection,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,60
HsWGslZFynPPJZ7Dd2HW,How Travel Credit Cards Work: Points Miles and Perks,credit cards travel rewards,intermediate,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,65
